#,Leave unused values blank,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
model,boundary,t0,t0_chill,T_base,T_opt,T_min,T_max,a,b,c,f,w,C_ini,F_crit,C_req,P_crit,L_crit,VPD_min,VPD_max,L_min,L_max
LIN,lower,,,,,,,-1000,-1000,,,,,,,,,,,,
LIN,upper,,,,,,,1000,1000,,,,,,,,,,,,
TT,lower,1,,-5,,,,,,,,,,0,,,,,,,
TT,upper,365,,10,,,,,,,,,,2000,,,,,,,
TTs,lower,1,,,,,,,0,0,,,,0,,,,,,,
TTs,upper,365,,,,,,,100,100,,,,350,,,,,,,
PTT,lower,1,,-5,,,,,,,,,,0,,,,,,,
PTT,upper,365,,10,,,,,,,,,,2000,,,,,,,
PTTs,lower,1,,,,,,,0,0,,,,0,,,,,,,
PTTs,upper,365,,,,,,,100,100,,,,350,,,,,,,
M1,lower,1,,-5,,,,,,,-100,,,0,,,,,,,
M1,upper,365,,10,,,,,,,0,,,2000,,,,,,,
M1s,lower,1,,,,,,,0,0,-100,,,0,,,,,,,
M1s,upper,365,,,,,,,100,100,0,,,2000,,,,,,,
AT,lower,1,,-5,,,,0,0,0,,,,,,,,,,,
AT,upper,365,,10,,,,500,1000,5,,,,,,,,,,,
SQ,lower,1,1,-5,-5,-5,0,,,,,,,0,0,,,,,,
SQ,upper,365,365,10,10,10,15,,,,,,,2000,350,,,,,,
SQb,lower,1,1,-5,,,,0,-20,-10,,,,0,0,,,,,,
SQb,upper,365,365,10,,,,10,20,10,,,,2000,350,,,,,,
SM1,lower,1,1,-5,-5,-5,0,,,,,,,0,0,,,,,,
SM1,upper,365,365,10,10,10,15,,,,,,,2000,350,,,,,,
SM1b,lower,1,1,-5,,,,0,-20,-10,,,,0,0,,,,,,
SM1b,upper,365,365,10,,,,10,20,10,,,,2000,350,,,,,,
PA,lower,1,1,-5,-5,-5,0,,,,,,0,0,0,,,,,,
PA,upper,365,365,10,10,10,15,,,,,,1,2000,350,,,,,,
PAb,lower,1,1,-5,,,,0,-20,-10,,,0,0,0,,,,,,
PAb,upper,365,365,10,,,,10,20,10,,,1,2000,350,,,,,,
PM1,lower,1,,-5,-5,-5,0,,,,,,0,0,0,,,,,,
PM1,upper,365,,10,10,10,15,,,,,,1,2000,350,,,,,,
PM1b,lower,1,,-5,,,,0,-20,-10,,,0,0,0,,,,,,
PM1b,upper,365,,10,,,,10,20,10,,,1,2000,350,,,,,,
UN,lower,1,,-5,-5,-5,0,,,,-100,0,,,0,,,,,,
UN,upper,365,,10,10,10,15,,,,0,2000,,,350,,,,,,
UM1,lower,1,,-5,-5,-5,0,,,,-100,0,,,0,,,,,,
UM1,upper,365,,10,10,10,15,,,,0,1000,,,350,,,,,,
GR,lower,,,,,,,,-10,-10,,,,0,,0,6,,,,
GR,upper,,,,,,,,0,0,,,,2000,,50,12,,,,
AGSI,lower,,,,,-15,0,,,,,,,0,,,,0,2000,8,10
AGSI,upper,,,,,0,45,,,,,,,365,,,,2000,5000,11.5,12
SGSI,lower,,,,,-15,0,,,,,,,0,,,,0,2000,8,10
SGSI,upper,,,,,0,45,,,,,,,1,,,,2000,5000,11.5,12
CDD,lower,180,,-25,,,,,,,,,,-1000,,,,,,,
CDD,upper,365,,45,,,,,,,,,,0,,,,,,,
